2014-15 Teacher Salaries Report,,,,
,,,,
DISTRICT,ORGCODE,Salary Totals,Average Salary,FTE Count
Northboro-Southboro,07300000,$9,312,036 ,$86,947 ,107
North Middlesex,07350000,$16,559,494 ,$64,610 ,256
Old Rochester,07400000,$6,985,644 ,$79,836 ,88
Pentucket,07450000,$15,551,135 ,$71,532 ,217
Pioneer Valley,07500000,$4,715,049 ,$53,763 ,88
Quabbin,07530000,$12,124,118 ,$72,643 ,167
Ralph C Mahar,07550000,$3,905,462 ,$61,118 ,64
Silver Lake,07600000,$10,633,585 ,$79,060 ,135
Somerset Berkley Regional School District,07630000,$5,248,637 ,$62,858 ,84
Southern Berkshire,07650000,$5,645,712 ,$70,660 ,80
Southwick-Tolland-Granville Regional School District,07660000,$8,910,144 ,$62,747 ,142
Spencer-E Brookfield,07670000,$7,179,534 ,$62,539 ,115
Tantasqua,07700000,$10,658,240 ,$73,069 ,146
Triton,07730000,$16,581,702 ,$75,098 ,221
Up-Island Regional,07740000,$3,581,179 ,$83,477 ,43
Wachusett,07750000,$31,595,350 ,$68,835 ,459
Quaboag Regional,07780000,$6,343,867 ,$68,731 ,92
Whitman-Hanson,07800000,$18,794,244 ,$77,887 ,241
Assabet Valley Regional Vocational Technical,08010000,$8,298,232 ,$77,409 ,107
Blackstone Valley Regional Vocational Technical,08050000,$7,160,903 ,$75,378 ,95
Blue Hills Regional Vocational Technical,08060000,$6,363,564 ,$80,551 ,79
Bristol-Plymouth Regional Vocational Technical,08100000,$8,434,845 ,$80,716 ,105
Cape Cod Regional Vocational Technical,08150000,$4,980,425 ,$68,981 ,72
Essex North Shore Agricultural and Technical School District,08170000,$7,422,232 ,$68,534 ,108
Franklin County Regional Vocational Technical,08180000,$3,882,310 ,$67,754 ,57
Greater Fall River Regional Vocational Technical,08210000,$10,734,806 ,$80,411 ,134
Greater Lawrence Regional Vocational Technical,08230000,$10,624,141 ,$77,944 ,136
Greater New Bedford Regional Vocational Technical,08250000,$15,614,978 ,$79,750 ,196
Greater Lowell Regional Vocational Technical,08280000,$14,722,047 ,$79,965 ,184
South Middlesex Regional Vocational Technical,08290000,$5,832,579 ,$75,650 ,77
Minuteman Regional Vocational Technical,08300000,$6,625,819 ,$81,199 ,82
Montachusett Regional Vocational Technical,08320000,$8,546,427 ,$76,994 ,111
Northern Berkshire Regional Vocational Technical,08510000,$3,978,801 ,$78,016 ,51
Nashoba Valley Regional Vocational Technical,08520000,$4,176,893 ,$71,400 ,59
Northeast Metropolitan Regional Vocational Technical,08530000,$9,338,654 ,$82,279 ,114
Old Colony Regional Vocational Technical,08550000,$4,050,015 ,$73,771 ,55
Pathfinder Regional Vocational Technical,08600000,$5,306,808 ,$68,920 ,77
Shawsheen Valley Regional Vocational Technical,08710000,$10,716,903 ,$82,948 ,129
Southeastern Regional Vocational Technical,08720000,$9,965,582 ,$81,685 ,122
South Shore Regional Vocational Technical,08730000,$4,604,998 ,$85,595 ,54
Southern Worcester County Regional Vocational Technical,08760000,$7,813,907 ,$72,553 ,108
Tri County Regional Vocational Technical,08780000,$7,493,981 ,$79,134 ,95
Upper Cape Cod Regional Vocational Technical,08790000,$5,017,329 ,$68,731 ,73
Whittier Regional Vocational Technical,08850000,$9,092,041 ,$83,260 ,109
Bristol County Agricultural,09100000,$2,198,543 ,$66,221 ,33
Norfolk County Agricultural,09150000,$3,261,943 ,$74,644 ,44
State,00000000,$5,185,680,466 ,$74,782 ,69,344
